controller,scenario_name,interactive_week,cumulative_profit_mean,cumulative_profit_ci_lower,cumulative_profit_ci_upper
a3c,drift,4,427.56761685408156,-172.31766118289627,1004.8107458560145
a3c,drift,5,1268.2747599840911,69.82008930263714,2697.0871362981243
a3c,drift,6,4455.127919270597,1717.5236827977947,7794.896893459162
a3c,drift,7,7825.678547004402,4895.489797772984,11138.466690809772
a3c,drift,8,12984.883795426385,10940.465281088038,14999.625060158913
a3c,drift,9,21711.43275407106,19731.489897263502,24785.164959939993
a3c,drift,10,35142.64623193015,32342.939664362668,38334.731793420724
a3c,drift,11,47311.983584344795,42508.207196419906,53929.23346346172
a3c,drift,12,60712.22999425379,53408.61205647706,67838.80196508173
a3c,drift,13,74000.79110090136,67156.02262197032,80961.98731796976
a3c,drift,14,91072.2746234584,81256.54792624358,98874.40827915048
a3c,drift,15,105854.89669380557,92719.3208973856,116844.1054786593
a3c,drift,16,120527.311163558,106321.05146412889,132430.55757691816
a3c,drift,17,134954.37093221213,118658.01927190652,149185.65955422953
a3c,drift,18,145595.1710245396,126383.46005892227,162449.42226115798
a3c,drift,19,159782.2237493949,136202.78805323795,183420.7003481306
a3c,drift,20,170754.75542730154,145831.20872770678,196790.3406942246
a3c,drift,21,184028.76849811664,158266.28472381533,212688.9059867399
a3c,drift,22,194559.0881526446,167093.1049270988,221238.71758831214
a3c,drift,23,206254.0569851809,179352.66598000555,230822.26609073463
a3c,drift,24,218299.0977343849,190606.65032786728,245868.65796273123
a3c,drift,25,347027.6228408375,277503.94865321135,398644.92036509834
a3c,noise,0,0.0,0.0,0.0
a3c,noise,1,0.0,0.0,0.0
a3c,noise,2,0.0,0.0,0.0
a3c,noise,3,0.0,0.0,0.0
a3c,noise,4,0.6696495713952307,-740.3690408619743,618.5632109991024
a3c,noise,5,555.8007968607659,-1376.1308230972552,2489.6072163423305
a3c,noise,6,3231.451263687048,698.8394466346494,4789.090294125918
a3c,noise,7,7834.363576925251,5031.711786149694,10558.508545021235
a3c,noise,8,15693.363241585661,12112.181738775225,18639.581909394343
a3c,noise,9,23960.228431788506,19231.184090995208,28256.86618486314
a3c,noise,10,34114.46478532472,28501.71716221944,38432.5118690197
a3c,noise,11,48482.53219296132,43309.866508362364,52669.069983465604
a3c,noise,12,62096.02873888793,55457.55157017517,67532.34113192992
a3c,noise,13,78041.18924037211,70072.02962951252,84741.05154637991
a3c,noise,14,93789.5027622729,86481.2946250307,101031.84912300509
a3c,noise,15,107124.48732776381,98716.55402572638,115532.05711445324
a3c,noise,16,121879.04356010382,110459.58789178652,131695.75999394731
a3c,noise,17,133515.44143936268,118774.2823106954,147347.79578951554
a3c,noise,18,148168.7154469142,128623.98037450423,164473.3304585673
a3c,noise,19,162345.8534459715,140857.04278655507,179255.27769524296
a3c,noise,20,177997.57369263147,155793.04130863238,197385.866389194
a3c,noise,21,194540.59538497977,169882.61760052067,215480.24115394434
a3c,noise,22,205756.1327557295,178557.41444413917,229004.87971836134
a3c,noise,23,219108.27284392194,189319.35140925914,244312.03812045875
a3c,noise,24,234012.8343413908,199634.72683703224,261172.7096506967
a3c,noise,25,385685.43875642936,316975.9434219686,443967.10487022443
a3c,split_policy_dynamics,0,0.0,0.0,0.0
a3c,split_policy_dynamics,1,0.0,0.0,0.0
a3c,split_policy_dynamics,2,0.0,0.0,0.0
a3c,split_policy_dynamics,3,0.0,0.0,0.0
a3c,split_policy_dynamics,4,541.7729540322713,-60.08714816529232,1066.50470052742
a3c,split_policy_dynamics,5,2087.9276282370956,1112.8163649745823,3130.780121734554
a3c,split_policy_dynamics,6,3098.888609765898,944.3852434991962,4943.621993188165
a3c,split_policy_dynamics,7,8917.759732711862,5519.897828311497,12065.603770806672
a3c,split_policy_dynamics,8,17279.19681375778,13075.098527258575,20801.33259696586
a3c,split_policy_dynamics,9,24829.96232331131,19683.047880088314,28738.069455630593
a3c,split_policy_dynamics,10,37383.57082413424,33656.3474403859,41359.632072280954
a3c,split_policy_dynamics,11,51680.29842489364,47035.415358872015,56860.374177797436
a3c,split_policy_dynamics,12,66050.3207329084,59037.54328020224,71378.40199653027
a3c,split_policy_dynamics,13,81457.1393869327,73521.87169975776,88832.59190786735
a3c,split_policy_dynamics,14,99677.82146602967,91478.45183301516,109048.78730555922
a3c,split_policy_dynamics,15,117072.9432940947,107522.12337154345,126918.59138220543
a3c,split_policy_dynamics,16,133519.80459026445,120291.0046709682,148246.10352494885
